,名字,行业,地区,流通股本,总股本(万),总资产(万),流动资产,固定资产,每股净资,市净率,上市日期,平均利润,价格,平均市盈率
2130,沃尔核材,电气设备,深圳,38711.0,56939.0,363549.41,128287.0,73261.0,3.0,7.8,20070420,10393.0,16.9,93.0
2506,协鑫集成,半导体,上海,220824.0,252352.0,764196.44,716538.0,12410.0,0.27,43.2,20101118,-14454.0,8.45,-148.0
300370,安控科技,电器仪表,北京,12634.0,26789.0,102830.27,71015.0,16388.0,1.76,10.8,20140123,5068.0,14.4,76.0
600259,广晟有色,小金属,海南,25831.0,26212.0,390312.25,294247.0,32217.0,2.71,16.5,20000525,13.0,32.24,63381.0
600030,中信证券,证券,深圳,981466.0,1211691.0,64416808.0,0.0,104828.0,11.01,1.9,20030106,693951.0,15.28,27.0
600650,锦江投资,公共交通,上海,39056.0,55161.0,457947.91,115368.0,102534.0,5.71,7.5,19930607,21130.0,30.6,80.0
2308,威创股份,电脑设备,广东,83551.0,83559.0,305900.59,114191.0,48165.0,2.51,9.8,20091127,24838.0,16.15,54.0
600325,华发股份,区域地产,广东,81705.0,116905.0,8345253.5,7827845.0,48293.0,8.75,1.9,20040225,57695.0,11.08,22.0
2350,北京科锐,电气设备,北京,21822.0,21828.0,173018.06,122020.0,23678.0,4.82,4.2,20100203,7174.0,14.58,44.0
2372,伟星新材,其他建材,浙江,50751.0,57869.0,274974.84,165883.0,66235.0,3.87,4.7,20100318,31312.0,14.58,27.0
2628,成都路桥,建筑施工,四川,63559.0,73742.0,576863.44,392023.0,6924.0,3.56,2.1,20111103,23773.0,8.59,27.0
2213,特 尔 佳,汽车配件,深圳,14403.0,20600.0,42557.48,25749.0,5897.0,1.7,12.2,20080201,2438.0,15.5,131.0
600064,南京高科,园区开发,江苏,77433.0,77433.0,1963063.75,1029095.0,15787.0,9.97,2.1,19970506,47469.0,14.67,24.0
2727,一心堂,医药商业,云南,9583.0,26030.0,405399.94,289485.0,38525.0,8.37,7.5,20140702,24024.0,43.15,47.0
400,许继电气,电气设备,河南,73750.0,100833.0,1063377.5,923823.0,97790.0,5.69,3.3,19970418,63907.0,14.69,23.0
652,泰达股份,综合类,天津,146567.0,147557.0,2747769.5,2059441.0,26909.0,1.64,4.5,19961128,5617.0,5.19,136.0
300198,纳川股份,塑料,福建,34403.0,41588.0,193506.84,114478.0,28788.0,2.7,5.5,20110407,7939.0,12.14,64.0
