code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
600706,曲江文旅,-0.373,16.04,16.21,16.53,15.46,16.1,5345563.0,3.00467,84711891.0,100.25,3.45,287933.5187,285365.5147
002097,山河智能,-0.375,7.98,8.05,8.15,7.7,8.01,12035275.0,1.91221,96042712.0,558.042,2.523,602749.35,502255.088916
300236,上海新阳,-0.375,26.55,27.01,27.28,25.56,26.65,3165023.0,2.09797,83858597.0,44.25,5.434,488570.976,400536.06651
002142,宁波银行,-0.382,13.05,13.18,13.24,12.81,13.1,28100165.0,0.8144600000000001,365395978.0,6.905,1.326,5089231.275705,4502432.116665
600156,华升股份,-0.383,7.81,7.92,8.05,7.48,7.84,11651903.0,2.89769,90325940.0,-99.112,4.644,314048.458262,314048.458262
600881,亚泰集团,-0.384,5.19,5.29,5.29,4.96,5.21,46817515.0,2.47093,240759118.0,51.9,1.15,1349371.837503,983365.938102
300285,国瓷材料,-0.387,30.9,31.27,31.7,29.5,31.02,3125503.0,1.29024,95442306.0,61.8,10.119,789000.6,748525.78386
002087,新野纺织,-0.39,7.67,7.7,7.82,7.21,7.7,28316341.0,5.44945,212846575.0,47.2,1.9849999999999999,398654.6928,398546.939271
002662,京威股份,-0.391,17.84,18.6,18.6,17.02,17.91,11298161.0,1.96002,200102082.0,25.486,3.155,1338000.0,1028351.12
603199,九华旅游,-0.392,40.7,40.6,40.98,39.5,40.86,756266.0,2.73217,30573194.0,50.875,5.085,450467.6,112657.6
