代码,名字,行业,地区,市盈率,流通股本,总股本(万),总资产(万),流动资产,固定资产,公积金,每股公积金,每股收益,每股净资,市净率,上市日期,平均利润
748,长城信息,电脑设备,湖南,322.23,75112.43,81481.85,505383.09,244985.77,19203.31,96230.6,1.18,0.081,4.06,8.6,19970704,8401.0
750,国海证券,证券,广西,19.25,231035.91,281036.13,5490966.0,0.0,16859.99,711908.94,2.53,0.58,4.54,2.84,19970709,80305.0
751,锌业股份,铅锌,辽宁,104.52,140984.13,140986.92,334336.59,156572.06,88311.86,131577.38,0.93,0.05,1.42,4.87,19970626,144424.33333333334
752,西藏发展,啤酒,西藏,256.14,26375.09,26375.84,139345.67,89173.46,18489.57,2405.82,0.09,0.055,2.99,6.26,19970625,5661.0
753,漳州发展,汽车服务,福建,0.0,81935.53,88414.65,359974.53,285996.47,23670.05,23949.01,0.27,-0.057,1.6,4.11,19970626,4414.666666666667
755,山西三维,化工原料,山西,0.0,46925.58,46926.46,572868.25,164999.38,365525.66,112936.02,2.41,-0.802,2.87,3.8,19970627,-23239.333333333332
756,新华制药,化学制药,山东,75.84,30731.27,45731.28,443925.94,170034.19,186066.8,51309.23,1.12,0.135,3.99,3.42,19970806,4975.333333333333
757,浩物股份,汽车配件,四川,250.82,31280.26,45162.12,84484.28,45841.5,17980.21,83443.9,1.85,0.038,1.21,10.51,19970627,3016.0
758,中色股份,铅锌,北京,41.8,90156.15,98468.92,2062612.0,1310476.63,267382.03,189100.73,1.92,0.282,4.75,3.31,19970416,20845.666666666668
759,中百集团,超市连锁,湖北,0.0,68067.2,68102.14,904306.38,372931.16,401228.66,107233.51,1.57,-0.085,4.27,2.07,19970519,9968.333333333334
760,斯太尔,汽车配件,江苏,0.0,33159.32,77184.46,191447.31,82380.47,20222.01,105259.65,1.36,-0.128,2.12,9.08,19970627,-2839.3333333333335
761,本钢板材,钢加工,辽宁,83.2,273594.34,313600.0,4573581.5,2057911.75,1664470.63,911484.63,2.91,0.052000000000000005,4.91,1.18,19980115,22383.333333333332
762,西藏矿业,小金属,西藏,610.32,47595.44,47597.48,247120.5,153689.31,40260.17,117542.72,2.47,0.034,3.44,8.15,19970708,-1727.3333333333333
766,通化金马,中成药,吉林,1065.5,44901.44,57348.89,173517.81,49233.05,12340.75,137112.81,2.39,0.012,2.17,8.16,19970430,547.3333333333334
767,漳泽电力,火力发电,山西,16.68,157371.63,225373.78,3315034.0,597826.94,1778106.25,227233.02,1.01,0.263,2.65,2.2,19970609,53259.333333333336
768,中航飞机,航空,陕西,0.0,265381.78,276864.5,3863809.25,3165831.5,497732.81,1009882.31,3.65,-0.044,5.3,4.54,19970626,19359.0
776,广发证券,证券,广东,11.53,591929.13,762108.75,40585220.0,0.0,86862.36,3167912.0,4.16,1.51,9.62,2.18,19970611,607369.6666666666
777,中核科技,机械基件,江苏,183.95,38336.03,38341.76,181061.92,110871.0,41527.71,24948.74,0.65,0.133,2.88,11.34,19970710,6243.666666666667
778,新兴铸管,钢加工,河北,62.44,364181.09,364330.75,4995920.5,2256560.25,1629246.25,726836.5,1.99,0.08,4.59,1.46,19970606,71991.0
779,三毛派神,纺织,甘肃,0.0,18644.09,18644.09,75734.75,25385.42,5888.91,32181.24,1.73,-0.124,1.4,14.16,19970528,-1542.0
780,平庄能源,煤炭开采,内蒙,0.0,101430.63,101430.63,622409.75,425639.44,71165.27,143941.34,1.42,-0.208,4.45,1.31,19970606,-4897.666666666667
782,美达股份,化纤,广东,76.67,40450.87,52813.96,234429.27,109617.63,67810.11,63823.15,1.21,0.156,2.45,6.51,19970619,-4517.666666666667
783,长江证券,证券,湖北,13.96,474236.72,474246.78,10651298.0,0.0,30001.51,296789.84,0.63,0.6709999999999999,3.37,3.71,19970731,196432.0
785,武汉中商,百货,湖北,420.35,25109.36,25122.16,271167.25,89603.25,79520.36,7361.7,0.29,0.03,3.3,5.06,19970711,2535.3333333333335
786,北新建材,其他建材,北京,21.17,137765.56,141398.16,1386052.5,473224.69,629468.81,176934.52,1.25,0.441,5.33,2.34,19970606,87800.33333333333
788,北大医药,化学制药,重庆,0.0,55877.44,59598.73,442578.66,205359.92,176348.22,19917.28,0.33,-0.311,1.55,10.27,19970616,-4488.0
789,万年青,水泥,江西,29.2,61334.98,61336.44,878842.13,288791.16,434912.59,27760.63,0.45,0.233,4.12,2.2,19970923,37702.0
790,华神集团,中成药,四川,0.0,42839.98,43102.14,86510.86,49672.42,29529.74,3823.15,0.09,-0.135,1.3,12.26,19980327,1928.3333333333333
